1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,Win
-2,-5,0,-5,0,0,0,-3,-2,0,0,0,0,0,-10,-5,0,0,0,0,-3,-4,-1,-1,-4,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,4,1,1,4,3,0,0,0,0,5,10,0,0,0,0,0,2,3,0,0,0,5,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,-5,0,0,0,-3,-2,0,0,0,0,0,-10,-5,0,0,0,0,-3,-4,-1,-1,-4,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,4,1,1,4,3,0,0,0,0,5,10,0,5,0,0,0,2,3,0,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,0,0,0,0,-3,-4,-1,-1,-4,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,4,1,1,4,3,0,0,0,0,5,10,0,5,0,0,0,2,3,0,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,0,0,0,0,-3,-4,-1,-1,-4,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,4,0,1,4,3,0,0,0,0,5,10,0,5,0,0,0,2,3,0,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,0,0,0,0,-3,0,-1,-1,-4,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,4,0,1,4,3,0,0,0,0,5,10,0,5,0,0,0,2,3,0,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,0,0,0,0,-3,0,-1,-1,-4,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,1,4,1,1,0,1,0,1,4,0,1,0,3,0,0,0,0,5,10,0,5,0,0,0,2,3,0,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,-10,0,-5,0,0,0,0,-3,0,-1,-1,-4,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,1,4,1,1,0,1,0,1,4,0,1,0,3,0,0,0,0,5,10,0,5,0,0,0,2,3,0,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,-10,0,-5,0,0,0,0,-3,0,-1,-1,-4,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,1,4,1,1,0,1,0,1,4,0,1,0,3,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,0,0,0,0,-3,0,-1,-1,-4,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,1,1,4,1,1,0,1,0,1,4,0,1,0,3,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,0,0,0,0,-3,0,-1,-1,-4,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,0,0,0,3,0,1,0,1,0,1,1,4,1,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,-4,0,0,0,-3,0,-1,-1,0,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,0,0,0,3,0,1,0,1,0,1,1,4,1,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,-4,0,0,0,-3,0,-1,-1,0,-1,0,-1,0,-1,-1,-4,0,-1,0,-1,0,-1,1,0,0,3,0,1,0,1,0,0,1,4,1,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,-4,0,0,0,-3,0,-1,-1,0,-1,0,-1,0,0,-1,-4,0,-1,0,-1,0,-1,-1,0,0,3,0,1,0,1,0,0,1,4,1,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,-10,-5,-4,0,0,0,-3,0,5,-1,0,-1,0,-1,0,0,-1,-4,0,-1,0,-1,0,-1,-1,0,0,0,0,1,0,1,0,0,1,4,1,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,0,-5,-4,0,0,0,-3,0,-10,-1,0,-1,0,-1,0,1,-1,-4,0,-1,0,-1,0,-1,-1,0,0,0,0,1,0,1,0,0,1,4,1,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,0,-5,-4,0,0,0,-3,0,-10,0,0,-1,0,-1,0,1,-1,-4,-1,-1,0,-1,0,-1,-1,0,0,0,0,1,0,1,0,0,1,4,1,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,0,-5,-4,0,0,0,-3,0,-10,0,0,-1,0,-1,0,1,-1,-4,-1,-1,0,-1,0,-1,-1,0,-1,1,0,1,0,1,0,0,1,4,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,-5,0,0,-5,-4,0,0,0,5,0,-10,0,0,-1,0,-1,0,0,-1,-4,-1,-1,0,-1,0,-1,-1,0,-1,1,0,1,0,1,0,0,1,4,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,-10,0,0,-1,0,-1,0,0,-1,-4,-1,-1,0,-1,0,-1,-1,0,-1,1,0,1,0,1,0,0,1,4,3,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,-10,0,0,-1,0,-1,0,0,-1,-4,-1,-1,0,-1,0,-1,-1,0,0,1,0,1,0,1,0,0,1,-1,3,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,-10,0,0,-1,0,-1,0,0,-1,3,-1,-1,0,-1,0,-1,-1,0,0,1,0,1,0,1,0,0,1,-1,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,0,0,0,-1,0,-1,0,0,-1,-10,-1,-1,0,-1,0,-1,-1,0,4,1,0,1,0,1,0,0,1,-1,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-1,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,-10,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,-1,0,4,1,0,1,0,1,0,0,1,-1,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-1,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,-10,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,-1,1,4,1,0,1,0,1,0,0,0,-1,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-1,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,-10,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,-1,1,4,1,0,1,0,1,-1,0,0,-1,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-1,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,-5,0,-10,0,0,-1,0,-1,0,1,-1,0,-1,-1,0,-1,0,0,-1,1,4,1,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,0,0,-10,0,0,-1,0,-1,0,-5,-1,0,-1,-1,0,-1,0,0,-1,1,4,1,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,0,0,-10,0,0,-1,0,-1,0,-5,-1,4,-1,-1,0,-1,0,0,-1,1,0,1,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,0,-3,-2,0,0,0,0,0,-10,-5,-4,0,0,0,0,0,5,0,0,-1,0,-1,0,-5,-1,4,-1,-1,0,-1,0,0,-1,1,0,1,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,-10,0,-3,-2,0,0,0,0,0,0,-5,-4,0,0,0,0,0,5,0,0,-1,0,-1,0,-5,-1,4,-1,-1,0,-1,0,0,-1,1,0,1,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,-10,0,-3,-2,0,0,0,0,0,-1,-5,-4,0,0,0,0,0,5,0,0,-1,0,-1,0,-5,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,-10,0,-3,-2,0,0,0,6,0,-1,-5,-4,0,0,0,0,0,0,0,0,-1,0,-1,0,-5,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,-10,-3,-2,0,0,0,6,0,-1,-5,-4,0,0,0,0,0,0,0,0,-1,0,-1,0,-5,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-5,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,-4,0,0,0,0,6,0,0,0,-1,0,-1,0,-5,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,-4,0,0,0,0,6,0,0,0,-1,0,-1,-5,-5,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,-4,0,0,0,0,6,0,0,0,-1,0,-1,-5,-5,-1,4,1,-1,0,-1,0,1,-1,1,0,0,0,1,0,1,0,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,-4,0,0,0,0,6,0,0,0,-1,0,-1,-5,0,-1,4,1,-1,0,-1,0,-5,-1,1,0,0,0,1,0,1,1,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,-4,0,0,0,0,6,0,0,0,-1,0,-1,-5,0,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,-5,0,0,-1,0,1,0,1,0,-1,4,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,-4,0,0,0,0,6,0,0,0,-1,0,-1,-5,0,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,6,0,0,-4,-1,0,-1,-5,0,-1,4,1,-1,0,-1,0,0,-1,1,0,0,0,1,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,6,0,0,-4,-1,0,-1,-5,0,-1,4,1,-1,1,-1,0,0,-1,1,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,6,0,0,0,-1,0,-1,-5,0,-1,4,1,-1,-4,-1,0,0,-1,1,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-3,-4,-3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,0,6,0,0,-1,0,-1,-5,0,-1,4,1,-1,-4,-1,0,0,-1,1,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,0,0,0,0,-1,0,-1,-5,0,6,4,1,-1,-4,-1,0,0,-1,1,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-5,4,1,-1,-4,-1,0,0,-1,1,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-1,-1,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,4,1,-1,-4,-1,0,0,-1,0,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-1,-1,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,0,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,4,1,-1,-4,-1,0,0,-1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,-1,0,0,-5,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-1,-1,-1,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,5,0,-10,-3,-2,0,0,0,0,0,-1,-5,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,4,1,-1,-4,-1,0,0,-1,0,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,5,0,0,-3,-2,0,0,0,0,0,-1,-5,-10,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,4,1,-1,-4,-1,0,0,-1,0,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,5,0,0,-3,-2,0,0,0,0,0,-1,-5,-10,0,0,0,0,0,0,5,0,-1,0,-1,0,0,1,0,1,-1,-4,-1,0,0,-1,0,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,5,0,0,-3,-2,0,0,0,0,0,0,-5,-10,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,1,-1,-4,-1,0,0,-1,0,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,-3,5,0,0,-3,-2,0,0,0,0,0,0,-5,-10,0,0,0,0,0,0,5,0,-1,0,-1,0,0,1,0,0,-1,-4,-1,0,0,-1,0,0,0,0,0,0,1,4,0,0,-1,0,1,0,1,0,-1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,10,0,0,0,0,5,2,-5,-4,-5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
